TCP,ESTC,text_name,Title,Title 30 Char or fewer,Author,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Verse/Prose/Mixed,Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Status,Notes
A07686,S120562,A07686.headed.txt,"A liuely anatomie of death wherein you may see from whence it came, what it is by nature, and what by Christ. Togeather with the power, strength, and sting thereof: as also a preparatiue against the same. Tending to teach men to lyue, and die well to the",LivelyAnatomyOfDeath,"More, John, d. 1592.",8�,,1596,Imprinted at London :,"By G. S[imson] for W. Iones, and are to be solde at the signe of the Gunne neare Holborne Conduit,",prose,IR,INST,Free,
A07691,S2237,A07691.headed.txt,"The boke of the fayre genty[l]woman that no man shulde put his truste, or confydence in that is to say, Lady Fortune, flaterynge euery man that coueyteth to haue all, and specyally, them that truste in her, she deceyueth them at laste.",BookOfLadyFortune,"More, Thomas, Sir, Saint, 1478-1535.",8�,,1540,[London] :,"Imprinted by me Robert Wyer dwellynge, in Saynt Martyns parysshe, in the Duke of Suffolkes tentes, besyde Charynge Crosse,",verse,IS,INST,Free,Date should be 1556
A07704,S104280,A07704.headed.txt,A letter of syr Tho. More knyght impugnynge the erronyouse wrytyng of Iohn Fryth agaynst the blessed sacrament of the aultare.|Letter of syr Tho. More knyght impugnynge the erronyouse wrytyng of John Fryth agaynst the blessed sacrament of the aultare|Lett,LetterThosMoreOnSacrament,"More, Thomas, Sir, Saint, 1478-1535.",4�,,1533,[Prented at London :,"By W. Rastell,",prose,IR,ARG,Free,
A07711,S112890,A07711.headed.txt,"The common-vvealth of Vtopia containing a learned and pleasant discourse of the best state of a publike weale, as it is found in the government of the new ile called Vtopia. Written by the right Honourable, Sir Thomas Moore, Lord Chancellour of England.|U",MoresUtopia,"More, Thomas, Sir, Saint, 1478-1535.|Robinson, Ralph, b. 1521,|Marshall, William, fl. 1617-1650,",12�,,1639,London :,"Printed by B. Alsop  T. Fawcet, and are to be sold by Wil: Sheares, at his shop in Bedford-street in Coven-garden neere the New Exchange,",prose,NI,NARR,Free,
A07753,S111843,A07753.headed.txt,"A plaine and easie introduction to practicall musicke set downe in forme of a dialogue: deuided into three partes, the first teacheth to sing with all things necessary for the knowledge of pricktsong. The second treateth of descante and to sing two parts",IntroductionToPracticalMusic,"Morley, Thomas, 1557-1603?",2�,,1597,Imprinted at London :,"By Peter Short, dwelling on Breedstreet hill at the signe of the Starre,",prose,IS,INST,Free,
A07807,S112912,A07807.headed.txt,"A full satisfaction concerning a double Romish iniquitie; hainous rebellion, and more then heathenish �quiuocation. Containing three parts: the two former belong to the reply vpon the Moderate Answerer; the first for confirmation of the discouerie in thes",DoubleRomishIniquity,"Morton, Thomas, 1564-1659.",4�,,1606,London :,"Printed by Richard Field for Edmond Weauer,",prose,IR,ARG,Free,
A07826,S107028,A07826.headed.txt,"A treatise of the threefolde state of man wherein is handled, 1 His created holinesse in his innocencie. 2 His sinfulnesse since the fall of Adam. 3 His renewed holinesse in his regeneration.",TreatiseOfMansThreefoldState,"Morton, Thomas, of Berwick.",8�,,1596,Printed at London :,"[By R. Robinson] for Robert Dexter and Raph Iackeson,",prose,IR,INST,Free,
A07871,S107531,A07871.headed.txt,"A briefe collection and compendious extract of the strau[n]ge and memorable things, gathered oute of the cosmographye of Sebastian Munster. Where in is made a playne descrypsion of diuerse and straunge lavves rites, manners, and properties of sundry nacio",CollectionOfStrangeThings,"M�nster, Sebastian, 1489-1552.|Eden, Richard, 1521?-1576,",8�,,1572,Imprinted at London :,"In fleetstrete neare Sainct Dunstanes Churche by Thomas Marshe,",prose,EX,EX,Free,
A07882,S112930,A07882.headed.txt,In mortem serenissim� Regin� Elizabeth�. N�nia consolans.,BalladOnDeathOfQueenElizabeth,"Mulcaster, Richard, 1530?-1611.",4�,,1603,Londini :,"Pro Edwardo Aggas, via longa sub quercu viridi,",verse,NN,NARR,Free,
A07892,S112998,A07892.headed.txt,"A breefe aunswer made vnto two seditious pamphlets, the one printed in French, and the other in English. Contayning a defence of Edmund Campion and his complices, their moste horrible and vnnaturall treasons, against her Maiestie and the realme. By A.M.|B",DefenseOfEdmundCampion,"Munday, Anthony, 1553-1633.",8�,,1582,Imprinted at London :,"By Iohn Charlewood, dwelling in Barbican, at the signe of the halfe Eagle and Key,",mixed,IS,ARG,Free,
A07897,S110066,A07897.headed.txt,"The death of Robert, Earle of Huntington. Otherwise called Robin Hood of merrie Sherwodde: with the lamentable tragedie of chaste Matilda, his faire maid Marian, poysoned at Dunmowe by King Iohn. Acted by the Right Honourable, the Earle of Notingham, Lord",DeathOfRobinHood,"Munday, Anthony, 1553-1633.|Henry, Chettle, d. 1607?.",4�,,1601,Imprinted at London :,"[By R. Bradock] for William Leake,",verse,NI,NARR,Free,
A07907,S113000,A07907.headed.txt,"The triumphes of re-vnited Britania. Performed at the cost and charges of the Right Worship: Company of the Merchant-Tayulors, in honor of Sir Leonard Holliday kni: to solemnize his entrance as Lorde Mayor of the Citty of London, on Tuesday the 29. of Oct",TriumphsReunitedBritain,"Munday, Anthony, 1553-1633.",4�,,1605,Printed at London :,"By W. Jaggard,",mixed,NI,NARR,Free,
A07908,S113212,A07908.headed.txt,The speculation of vsurie.|The speculation of usurie.|Speculation of usurie.,SpeculationOfUsury,"Bell, Thomas, fl. 1593-1610.",4�,,1596,London :,"Printed by Valentine Symmes,",prose,IR,ARG,Free,
A07949,S101552,A07949.headed.txt,"The tryall of the nevv religion. Contayning a plaine demonstration, that the late faith and doctrine of the Church of Rome, is indeede the new religion. By Thomas Bell.|Tryall of the new religion|Tryall of the new religion.",TrialOfNewReligion,"Bell, Thomas, fl. 1593-1610.",4�,,1608,At London :,"Printed by VVilliam Iaggard dwelling in Barbican,",prose,IR,ARG,Free,
A07978,S113041,A07978.headed.txt,Totenham Court. A pleasant comedie: acted in the yeare MDCXXXIII. At the private house in Salisbury-Court. The author Thomas Nabbes.|Totenham-Court.,TotenhamCourtAComedy,"Nabbes, Thomas, 1605?-1645?",4�,,1638,At London :,"Printed by Richard Ovlton, for Charles Greene; and are to be sold at the signe of the White Lyon, in Pauls Church-yard,",prose,NI,NARR,Free,
A07993,S105497,A07993.headed.txt,"The great wonders that are chaunced in the realme of Naples with a great misfortune happened at Rome and in other places, by an earth quake in the moneth of December last past. Translated out of Frenche into Englishe, by I.A. 1566.|Admonition or warning t",WondersInNaples,"I. A.,|Partridge, John, fl. 1566-1573.",8�,,1566,[Imprinted at London :,"By Henry Denham by Thomas Hacket, and are to be solde at his shoppe in Lumbart streate],",mixed,NN,DESC,Free,a mixed-genre text
A08072,S120748,A08072.headed.txt,"24. of August. 1578. A discourse of the present state of the wars in the lowe countryes. Wherein is contayned the pittifull spoyle of Askot: and the articles of peace to bee concluded betweene the states, and Don Iohn de Austrea.|Discourse of the present",WarsInLowCountries,,8�,,1578,[[London] :,"Imprinted by [J. Charlewood for] VV. B[artlett],",prose,NN,NARR,Free,
A08171,S110146,A08171.headed.txt,"[The history of strange wonders.].|Strange newes.|Epistle of one frend to another, of a strange fyre that was sene in the aire both longe and brode almost through al Germany.",HistoryOfStrangeWonders,"Camerarius, Joachim, 1500-1574.",8�,,1561,[Imprynted at London :,"By Roulande Hall dvvellynge in Goldynge Lane at the signe of the three arrovves,",prose,NN,NARR,Free,
A08210,S110153,A08210.headed.txt,"Sir Francis Drake reuiued calling vpon this dull or effeminate age, to folowe his noble steps for golde  siluer, by this memorable relation, of the rare occurrances (neuer yet declared to the world) in a third voyage, made by him into the West-Indies, in",RelationOfDrakeInWestIndies,"Nichols, Philip.|Drake, Francis, d. 1637,",4�,,1626,London :,"Printed by E[dward] A[llde] for Nicholas Bourne dwelling at the south entrance of the Royall Exchange,",prose,NN,NARR,Free,
A08269,S110162,A08269.headed.txt,"A theatre wherein be represented as wel the miseries  calamities that follow the voluptuous worldlings as also the greate ioyes and plesures which the faithfull do enioy. An argument both profitable and delectable, to all that sincerely loue the word of G",MiseriesOfVoluptuousWorldlings,"Noot, Jan van der, ca. 1538-ca. 1596.|Spenser, Edmund, 1552?-1599,|Roest, Theodore,|Petrarca, Francesco, 1304-1374.|Du Bellay, Joachim, 1525 (ca.)-1560.",8�,,1569,Imprinted at London :,"By Henry Bynneman,",mixed,IR,INST,Free,prophecy = religious instruction?
A08278,S110180,A08278.headed.txt,The labyrinth of mans life. Or Vertues delight and enuies opposite. By Io: Norden.|Labyrinth of mans life|Vertues delight and envies opposite.|Labyrinth of mans life. Or Vertues delight and envies opposite.,LabyrinthOfMansLife,"Norden, John, 1548-1625?",4�,,1614,Printed at London :,"[By George Eld], for Iohn Budge, and are to be solde at the great south doore of Paules, and at Brittaines Bursse,",verse,IS,INST,Free,also contains narrative & descriptive elements...
A08279,S100614,A08279.headed.txt,"A load-starre to spirituall life. Or, a Christian familiar motiue to the most sweet and heauenly exercise of diuine prayer. With prayers for morning and euening. Written to stir vp all men to watchfulnesse and reformation of their carnall and corrupt liue",LoadStarToSpiritualLife,"Norden, John, 1548-1625?",12�,,1614,London :,"Printed by William Stansby,",prose,IR,INST,Free,
A08548,S113624,A08548.headed.txt,"The second part of the Myrror of knighthood. Containing two seuerall bookes, wherein is intreated the valiant deedes of armes of sundrie worthie knightes, verie delightfull to be read, and nothing hurtfull to bee regarded. Now newly translated out of Span",MirrorOfKnighthoodPart2,"Sierra, Pedro de la.|R. P., fl. 1583-1586,|Parry, Robert, fl. 1540-1612,|Parke, Robert, fl. 1588,",4�,,1583,Imprinted at London :,"By Thomas Este,",prose,NI,NARR,Free,
A08610,S101562,A08610.headed.txt,"The monument of matrones conteining seuen seuerall lamps of virginitie, or distinct treatises; whereof the first fiue concerne praier and meditation: the other two last, precepts and examples, as the woorthie works partlie of men, partlie of women; compil",MonumentOfMatrons,"Bentley, Thomas,|Abergavenny, Frances Nevill, d. 1576.|Marguerite, 1492-1549.|Catherine Parr, 1512-1548.|Tyrwhit, Elizabeth,|Catherine Parr, 1512-1548.",4�,,1582,[London] :,"Printed by H. Denham,",prose,IR,INST,Free,
A08704,S101626,A08704.headed.txt,"The last summons, or an oration sent to the inhabitants of the towne of Rochell, to mooue them to yeild the towne vnto his Maiestie, and to obay his commandements. Written by Monsieur le Marquis de Berguille.|Last summons|Last summons, or an oration sent",LastSummonsToRochell,"Bergeville, Marquis de.",4�,,1621,[London? :,"S.n.],",prose,IS,ARG,Free,
A08793,S108441,A08793.headed.txt,A compe[n]dius [and] a moche fruytefull treatyse of well liuynge co[n]taynyng the hole su[m]me and effect of al vertue. Wrytten by S. Bernard [and] translated by Thomas Paynell.|Modus bene vivendi. English|Modus bene vivendi.|Compendius and a moche fruyte,TreatiseOfWellLiving,"Bernard, of Clairvaux, Saint, 1090 or 91-1153.|Paynell, Thomas,",8�,,1545,[Imprynted at Lo[n]don :,"In paules churche yearde, at the sygne of the maydens heed, by Thomas Petyt,",prose,IR,INST,Free,
A08865,S108404,A08865.headed.txt,"An epistle of sai[n]t Bernarde, called the golden epistle, whiche he se[n]t to a yo[n]g religyous man whom he moche loued. And after the sayd epistle, foloweth four reuelations of Saint Birget.|Epistola de perfectione vitae. English|Epistola de perfection",EpistStBernardRevSt.Bridget,"Bernard, of Clairvaux, Saint, 1090 or 91-1153.|Bridget, ca. 1303-1373.|Hilton, Walter, d. 1396.",8�,,1535,[Printed at London :,"By Thomas Godfray,",prose,IR,INST,Free,
A08913,S103146,A08913.headed.txt,"A treatise of the plague contayning the causes, signes, symptomes, prognosticks, and cure thereof. Together with sundry other remarkable passages (for the prevention of, and preservation from the pestilence) never yet published by anie man. Collected out",TreatiseOfPlague,"Par�, Ambroise, 1510?-1590.|Johnson, Thomas, d. 1644,",4�,,1630,London :,"Printed by R. Y[oung] and R. C[otes] and are sold by Mich. Sparke, in the green Arbor Court in little Old Bailey, at the blew Bible,",prose,IS,INST,Free,
A09134,S110343,A09134.headed.txt,"Fedele and Fortunio. The deceites in loue: excellently discoursed in a very pleasaunt and fine conceited com�die, of two Italian gentlemen. Translated out of Italian, and set downe according as it hath beene presented before the Queenes moste excellent Ma",FedeleAndFortunioAComedy,"Pasqualigo, Luigi.|Munday, Anthony, 1553-1633,",4�,,1585,At London :,"Printed [by John Charlewood?] for Thomas Hacket, and are to be solde at his shop in Lumberd streete, vnder the Popes head,",verse,NI,NARR,Free,
A09149,S108134,A09149.headed.txt,"Pathose, or an inward passion of the pope for the losse of hys daughter the masse.|Inward passion of the pope for the losse of hys daughter the masse.",InwardPassionOfPope,"Shepherd, Luke, fl. 1548,",8�,,1548,"[Im printed at Lo[n]don by Iohn Daye and Wylliam Seres,",,verse,IR,ARG,Free,
A09156,S101708,A09156.headed.txt,"The Isle of Man: or, the legall proceeding in Man-shire against sinne. Wherein, by way of a continued allegorie, the chiefe malefactors disturbing both Church and common-wealth, are detected and attached; with their arraignment, and iudiciall triall, acco",LegalProceedingAgainstSin,"Bernard, Richard, 1568-1641.",12�,,1627,London :,"Printed [by Eliot's Court Press and George Miller] for Edw. Blackmore, at the great south doore of Pauls,",prose,IR,INST,Free,
A09239,S121824,A09239.headed.txt,"A proper new balade expressyng the fames, concerning a warning to al London dames to the tune of the blacke Almaine.",BalladWarningLondonDames,"Peele, Steven.",1�,single-sided,1571,[London] :,"Imprinted at S. Katherins by Alexander Lacie for Henrie Kyrkham, dwellyng at the middle north dore of S. Paules church,",verse,IS,INST,Free,the overall purpose is reminding young women of their mortality. but contains large descriptive sections... - Katie: leaning toward descriptive here
A09391,S107173,A09391.headed.txt,A direction for the government of the tongue according to Gods word.|Government of the tongue.,GovernmentOfTheTongue,"Perkins, William, 1558-1602.",8�,,1593,[Cambridge] :,"Printed by Iohn Legate printer to the Vniuersity of Cambridge. And are to be solde by Abraham Kitson at the signe of the Sunne in Pauls Church-yard in London,",prose,IR,INST,Free,
A09431,S113859,A09431.headed.txt,"Foure great lyers, striuing who shall win the siluer whetstone. Also, a resolution to the countri-man, prouing is vtterly vnlawfull to buye or vse our yeerly prognostications. Written by W.P.|Foure great lyers, striving who shall win the silver whetstone|",FourGreatLiars,"Perkins, William, 1558-1602.",8�,,1585,At London :,"Printed by Robert Walde-graue,",prose,IR,ARG,Free,only partly religious; would EX be more accurate? Katie: EX might work
A09447,S114529,A09447.headed.txt,Guilielmi Perkinsi Problema de Roman� fidei ementito Catholicismo. Est�q[ue] antidotum contra Thesaurum Catholicum Iodoci Coccij. Et propaidei� [sic] iuventutis in lectione omnium patrum. Editum post mortem authoris oper�a  studio Samuelis Wardi.|Problema,ProblemOfFictitiousCatholicism,"Perkins, William, 1558-1602.|Ward, Samuel, 1572-1643,",4�,,1604,Cantabrigi� :,"Ex officina Ioannis Legat. Anno Dom. M.D.CIIII. Extant Londini apud Simonem Waterson in C�meterio D. Pauli ad insigne Coron�,",prose,IR,ARG,Free,
A09492,S102895,A09492.headed.txt,"Egluryn phraethineb. sebh, dosparth ar retoreg, vn o�r saith gelbhydhyd, yn dysculhuniaith ymadrodh, a�i pherthynassau.|Egluryn phraethineb|Egluryn phraethineb. sebh, dosparth ar retoreg, un o�r saith gelbhydhyd, yn dyscu lhuniaith ymadrodh, a�i pherthyna",WelshRhetoricTreatise,"[Perry, Henry].|Salesbury, William, 1520?-1600?.",4�,,1595,[London] :,"Printiedig gann Ioan Danter yn Lhundain,",prose,IS,INST,Free,
A09513,S110428,A09513.headed.txt,"Deuoreux. Vertues teares for the losse of the most christian King Henry, third of that name, King of Fraunce; and the vntimely death, of the most noble  heroicall gentleman, VValter Deuoreux, who was slaine before Roan in Fraunce. First written in French,",TearsForLossOfKingHenry,"Petau de Maulette, Genevi�ve.|Markham, Gervase, 1568?-1637,",4�,,1597,At London :,"Printed by I. Roberts, for Thomas Millington, and are to be sold at his shop in Corn-hill, vnder Saint Peters Church,",verse,NN,NARR,Free,
A09581,S104641,A09581.headed.txt,"A commemoration of the life and death of the right worshipfull and vertuous ladie; Dame Helen Branch (late wife to the right worshipfull Sir Iohn Branch Knight, sometime Lord Maior of the famous Citie of London) by whose godly and virtuous life, virgines",CommemorationOfHelenBranch,"Phillips, John, fl. 1570-1591.",4�,,1594,[London :,"Printed by John Danter,",verse,NN,NARR,Free,
A09584,S121827,A09584.headed.txt,"An epitaphe on the death of the right noble and most vertuous lady Margarit Duglasis good grace, Countisse of Liuinox ( daughter to the renowmed  most excellent lady Margarit Queene, sister to the magnificent  most mighty Prince Henry the eight of England",EpitaphOnMargaritDuglasis,"Phillips, John, fl. 1570-1591.",1�,,1578,Imprinted at London :,"For Edvvard VVhite and are to be solde at the little north dore of Paules at the signe of the Gunne,",verse,NN,NARR,Free,
A09595,S105036,A09595.headed.txt,"A sommon to repentance. Giuen vnto Christians for a loking glasse, wherin we may behold our owne deformities, and therein and thereby, we are not onely forewarned of our destructions, but we are learned to humble out selues in these dangerous dayes of wic",SummonToRepentance,"Phillips, John, fl. 1570-1591.",8�,,1584,At London :,"Imprinted by H. Jackson, dwelling in Fleetestreete,",prose,IR,INST,Free,
A09666,S110474,A09666.headed.txt,"Pimlyco. Or, Runne Red-cap. Tis a mad world at Hogsdon.|Pimlyco|Runne Red-cap.",PimlycoOrRunRedCap,"Skelton, John, 1460?-1529.",4�,,1609,At London :,"Printed [by Thomas Purfoot] for Io: Busbie, and Geo: Loftis, and are to bee sould vnder St. Peters Church in Cornehill,",verse,NI,DESC,Free,
A09703,S3007,A09703.headed.txt,"A prayer or supplycation made vnto God by a yonge man that he woulde be mercifull to vs, and not kepe his worde away from vs, but that the truth maie springe / quod John Pyttes.",PrayerByAYoungMan,"Pits, John.",1 sheet,single-sided,1559,[London] :,"Printed at London in Aldersgate strete by William Herford,",verse,IR,INST,Free,is it fair to call printed prayer a form of instruction?
A09757,S103577,A09757.headed.txt,"The pathway to perfection. A sermon preached at Saint Maryes Spittle in London on VVednesday in Easter weeke. 1593. By Thomas Playfere, Doctor of Diuinitie.",PathToPerfectionSermon,"Playfere, Thomas, 1561?-1609.",8�,,1597,At London :,"Printed by Iames Roberts for Andrew VVise, dwelling in Paules church-yard, at the signe of the Angel,",prose,IR,INST,Free,
A09790,S110517,A09790.headed.txt,"The education or bringinge vp of children, translated oute of Plutarche by syr Thomas Eliot knyght.|De educatione puerorum. English|De educatione puerorum.|Education or bringinge up of children.",PlutarchEducationOfChildren,"Plutarch.|Elyot, Thomas, 1490?-1546,",4�,,1532,[Imprinted at London :,"In Fletestrete, in the house of Thomas Berthelet, nere to the Cundite, at the sygne of Lucrece,",prose,IS,INST,Free,
A09851,S114959,A09851.headed.txt,"The preceptes of warre, setforth [sic] by Iames the erle of Purlilia, and tra[n]slated into englysh by Peter Betham.|De rei militari. English|De re militari.",PreceptsOfWar,"Porcia, Jacopo di, conte, 15th cent.|Betham, Peter,",8�,,1544,[Imprynted at London :,"In the olde Iewery by Edwarde Whytchurche. Cum priuilegio ad imprimendu[m] solu[m] These bookes are to be solde at the weste dore of Pauls, by William Telotson],",prose,IS,INST,Free,
A10015,S110465,A10015.headed.txt,"The saints submission and Sathans overthrow. Or, Sermons on James 4.7.  By that faithfull and reverend divine, Iohn Preston, Doctor in divinitie, Chaplaine in ordinarie to his Majestie, Master of Emmanuel Colledge, sometime preacher of Lincolnes-Inne.|Sai",SaintsSubmissionSermon,"Preston, John, 1587-1628.",12�,,1638,London :,"Printed by J. D[awson] and are to be sold by Peter Cole at the signe of the Glove in Cornhill, neere the Royal-Exchange,",prose,IR,INST,Free,
A10090,S115229,A10090.headed.txt,"Vnto the most high and mightie prince, his soueraigne lord King Iames. A poore subiect sendeth, a souldiors resolution; humbly to waite vpon his Maiestie. In this little booke the godly vertues of our mighty King are specified, with disscription [sic] of",PoorSoldiersResolutionToKing,"Pricket, Robert.",4�,,1603,London :,"Printed by Iohn Windet, for Walter Burre, dwelling in Paules Churchyeard at the signe of the Crane,",prose,IR? IS?,ARG,Free,
A10109,S102935,A10109.headed.txt,"The first booke of Primaleon of Greece. Describing the knightly deeds of armes, as also the memorable aduentures of Prince Edward of England. And continuing the former historie of Palmendos, brother to the fortunate Prince Primaleon.",FirstBookOfPrimaleon,"Munday, Anthony, 1553-1633,",4�,,1595,London :,"Printed [by J. Danter] for Cuthbert Burby, and are to be solde at his shop by the Roiall Exchange,",prose,NI,NARR,Free,
A10150,S101196,A10150.headed.txt,"The historie of Wyates rebellion with the order and maner of resisting the same, wherunto in the ende is added an earnest conference with the degenerate and sedicious rebelles for the serche of the cause of their daily disorder. Made and compyled by John",HistoryOfWyattsRebellion,"Proctor, John, 1521?-1584.",8�,,1554,[London :,"Robert Caly],",prose,NN,NARR,Free,
A10181,S2847,A10181.headed.txt,"God, no impostor nor deluder, or, An answer to a popish and Arminian cauill, in the defence of free-will, and vniuersall grace wherein God's tender of grace by the outward ministry of the gospel, to reprobates who neither doe, nor can receiue it, is vindi",DefenseFreeWillUniversalGrace,"Prynne, William, 1600-1669.",4�,,1629,[London? :,"s.n.],",prose,IR,ARG,Free,
A10189,S121078,A10189.headed.txt,"A looking-glasse for all lordly prelates. Wherein they may cleerely behold the true divine originall and laudable pedigree, whence they are descended; together with their holy lives and actions laid open in a double parallel, the first, betweene the Divel",LookingGlassForLordlyPrelates,"Prynne, William, 1600-1669.",4�,,1636,[London?] :,"Printed,",prose,IR,ARG,Free,
A10246,S112006,A10246.headed.txt,Argalus and Parthenia The argument of ye history. Written by Fra: Quarles.|Arcadia.,ArgalusAndParthenia,"Quarles, Francis, 1592-1644.|Sidney, Philip, 1554-1586.|Cecil, Thomas, fl. 1630,",4�,,1629,London :,"Printed for Iohn Marriott in St. Dunstons Church:yard fleetstreet,",verse,NI,NARR,Free,
A10263,S115518,A10263.headed.txt,Hieroglyphikes of the life of man. Fra: Quarles.,HieroglyphicsLifeofMan,"Quarles, Francis, 1592-1644.|Marshall, William, fl. 1617-1650,",8�,,1638,London :,"Printed by M. Flesher, for Iohn Marriot,",verse,IR,INST,Free,
A10288,S102942,A10288.headed.txt,"The true discription of this marueilous straunge fishe, whiche was taken on Thursday was sennight, the xvi. day of June, this present month, in the yeare of our Lord God. M.D.LX.ix.|True discription of this marveilous straunge fishe, which was taken on Th",MarvelousStrangeFish,"C. R., fl. 1569.",1�,single-sided,1569,Imprynted at London :,"In fleetstreate, beneathe the conduit, at the signe of Saint John Euangelist, by Thomas Colwell,",prose,NN,NARR,Free,slightly more narrative than description
A10345,S115546,A10345.headed.txt,"The summe of the conference betwene Iohn Rainoldes and Iohn Hart touching the head and the faith of the Church. Wherein by the way are handled sundrie points, of the sufficiencie and right expounding of the Scriptures, the ministerie of the Church, the fu",ConferenceOfRainoldesAndHart,"Rainolds, John, 1549-1607.|Hart, John, d. 1586.|Rainolds, John, 1549-1607.",4�,,1584,Londini :,"[Printed by Iohn Wolfe] impensis Geor. Bishop,",prose,IR,ARG,Free,
A10357,S112960,A10357.headed.txt,The history of the world.|History of the world,HistoryOfTheWorld,"Raleigh, Sir, Walter, 1552?-1618.",2�,,1617,At London :,"Printed [by William Stansby] for Walter Burre[, and are to be sold at his Shop in Paules Church-yard at the signe of the Crane,",prose,NN,NARR,Free,
A10551,S100913,A10551.headed.txt,"The Red-Crosse: or, Englands Lord haue mercy vpon vs. [A lament]able relation of many visitations by the plague in times past, as well in other countries as in the city of London, and the certaine causes thereof: with a true number of all those that dyed",RelationOfPastPlagues,,1�,single-sided,1625,London :,"Printed for Iohn Trundle, and are to be sold at his shop in Smith-field, neere the Hospitall-gate,",prose,IS,INST,Free,"mixed genre - combination of prayer, history, plague bill, and medicinal receipes"
A10782,S3181,A10782.headed.txt,Forasmuch as I haue lately seene two letters vnder the hands of the late Lord Bishop of Couentrie and Lichfield ...,LatelySeenTwoBishopsLetters,"Ridley, Thomas, Sir, 1550?-1629.",1 sheet,single-sided,1618,[London :,"s.n.,",prose,STA,STA,Free,
A10793,S105156,A10793.headed.txt,"Of the foolishnes of men in putting-off the amendement of their liues from daie to daie a godlie and profitable treatise for the present time; written in the Latine tongue by that reuerend and worthie member of Christ his church in this age, Iohn Riuius.",FoolishnessOfMen,"Rivius, Johann, 1500-1553.|Rogers, Thomas, d. 1616,",8�,,1582,Imprinted at London :,"[By J. Charlewood] for Andrew Maunsel, and are to be solde at his shop at the west end of Paules Church,",prose,IR,INST,Free,
A10819,S115980,A10819.headed.txt,"The compleat cannoniere: or, The gunners guide. Wherein are set forth exactly the chiefe grounds and principals of the whole art, in a very briefe and compendious forme, never by any set forth in the like nature before. With divers excellent conclusions,",GunnersGuide,"Roberts, John, of Weston.",4�,,1639,London :,"Printed by J. Okes, and are to be sold by George Hurlock at his shop in Thames-street neere S. Magnus Church,",prose,IS,INST,Free,
A10843,S105158,A10843.headed.txt,"Of religious communion private,  publique. With the silenceing of the clamours raysed by Mr Thomas Helvvisse agaynst our reteyning the baptism receaved in Engl:  administering of Bapt: vnto infants. As also a survey of the confession of fayth published in",CommunionPrivateAndPublic,"Robinson, John, 1575?-1625.",4�,,1614,[Amsterdam? :,"s.n.],",prose,IR,ARG,Free,
A10848,S4858,A10848.headed.txt,"A golden mirrour conteining certaine pithie and figuratiue visions prognosticating good fortune to England and all true  English subiectes, with an ouerthrowe to the enemies : whereto be adioyned certaine pretie poemes written on the names of sundrie both",GoldenMirrorVisionsPoems,"Robinson, Richard, fl. 1574.",,,1589,London :,"Printed by Roger Ward for Iohn Proctor, and are to be solde at his shop vpon Holborne Bridge,",verse,NI,NARR,Free,
A10851,S102581,A10851.headed.txt,"The art of pronuntiation digested into two parts. Vox audienda,  vox videnda. In the first of which are set foorth the elements and seuerall parts of the voice: in the second are described diuers characters, by which euery part of the voice may be aptly k",ArtOfPronunciation,"Robinson, Robert, Londoner.",12�,,1617,London :,"Printed by Nicholas Okes,",prose,EX,EX,Free,
A10856,S101592,A10856.headed.txt,"New citharen lessons with perfect tunings of the same, from foure course of strings to fourteene course, euen to trie the sharpest teeth of enuie, with lessons of all sortes, and methodicall instructions for all professors and practitioners of the cithare",ZitharLessons,"Robinson, Thomas, fl. 1589-1609.",4�,,1609,London :,"Printed by [J. Windet for] William Barley, and are to be sold at his shop in Gracious-streete,",prose,IS,INST,Free,
A10969,S116111,A10969.headed.txt,"A philosophicall discourse, entituled, The anatomie of the minde. Nevvlie made and set forth by T.R.|Anatomie of the minde.",AnatomyOfTheMind,"Rogers, Thomas, d. 1616.",8�,,1576,Imprinted at London :,"By I[ohn] C[harlewood] for Andrew Maunsell, dvvelling in Paules Church yarde, at the signe of the Parret,",prose,EX,EX,Free,
A10986,S110703,A10986.headed.txt,"The seuin seages translatit out of prois in Scottis meter be Iohne Rolland in Dalkeith, with ane moralitie efter euerie doctouris tale, and siclike efter the Emprice Tale, togidder with ane louing and laude to euerie doctour efter his awin tale, [and] ane",SevenSagesInScottishMeter,"Rolland, John.",4�,,1578,Imprentit at Edinburgh :,"Be Iohne Ros, for Henrie Charteris,",verse,NI,NARR,Free,
A11058,S116181,A11058.headed.txt,"An exposition on the fourteene first chapters of Genesis, by way of question and answere. Collected out of ancient and recent writers: both briefely and subtilly propounded and expounded. By Abraham [sic] Rosse of Aberden, preacher at St. Maries neere Sou",ExpositionOfGenesis,"Ross, Alexander, 1591-1654.|Ross, Alexander, 1591-1654.|Ross, Alexander, 1591-1654.",8�,,1626,London :,"Printed by B[ernard] A[lsop] and T[homas] F[awcet] for Anth: Vpphill, and are to be sold at the White-Lyon, in Pauls Church-yard,",prose,IR,INST,Free,
